id,trigger,conditions,script,text,options,notes
# Go to Kanta's Den,,,,,,
gaATGshuttleKantasDenOption,PopulateOptions,"$id == kantas_den
$market.gaATG_talkToKanta
#!$isPerson
Call $global.gaATG_ref updateData",,,2:gaATG_shuttleKantasDen1:乘坐穿梭机去见 Kanta,
gaATGshuttleKantasDen1,DialogOptionSelected,$option == gaATG_shuttleKantasDen1,#ShowImageVisual something_cool,"驾驶员与交通管控人员进行了些日常交谈。在管控人员对一个好的着陆点进行例行索贿时，你用数据平板联络上了管控人员。

""嗯，这又是谁，穿梭机?""管控人员发出噼啪声，""给我买一顿午饭，还是说你喜欢等着?""","gaATG_shuttleKantasDen2:""让我们轻松一点，朋友。你想来点炸肉还是炸蔬菜?""
gaATG_shuttleKantasDen3:""我是来见你老板的。""
gaATG_shuttleKantasDen4:""停止勒索。我是来见 Kanta 的。""
",
gaATGshuttleKantasDen2,DialogOptionSelected,$option == gaATG_shuttleKantasDen2,AdjustRep pirates COOPERATIVE 1,"你将少量的信用点转给负责交通管控的恶棍，足够买一顿丰盛的午餐或是喝一顿便宜酒。

""呃，这可以让我高兴一天，""管控人员激动地说，""我可以来几种半份炸货，每种都来点。穿梭机，你可以在军用隔间 12 着陆。""","gaATG_shuttleKantasDen4:""告诉哪个高官，说我是来见领主 Kanta 的。""",
gaATGshuttleKantasDen3,DialogOptionSelected,$option == gaATG_shuttleKantasDen3,,"""呃，"" 管控员说，""你是说港口主管? 还是，呃，空间站之王? 又或是你指的是那{-}那个...""","gaATG_shuttleKantasDen4:""领主 Kanta。""",
gaATGshuttleKantasDen4,DialogOptionSelected,$option == gaATG_shuttleKantasDen4,,"""呃，收到了，穿梭机，""通讯中噼里啪啦地说，""呃，稍等。嗯，请稍等一下。""",gaATG_kdStationKing0:继续,
gaATGkdStationKing0,DialogOptionSelected,$option == gaATG_kdStationKing0,"BeginConversation $kantasDenStationCommander false true
$option = gaATG_kdStationKing1 0
FireBest DialogOptionSelected",,,
gaATGkdStationKing1,DialogOptionSelected,$option == gaATG_kdStationKing1,,"视频反馈闪烁着出现，充满了静态的画面，这是由于你的数据平板接入了过时的通讯协议。

""好的，你是谁?""{$personName}不耐烦地说""是什么让你认为你可以接入这条线路要求见 K 老大? 她可不会和爬上空间站的泥腿子说话{-}除非是要告诉他们这是他们变成数据的单程旅行，哈哈。""","gaATG_kdStationKing2:""如果我说{'请'}的话会有用吗?""
gaATG_kdStationKing3:""我并不是个想在通讯中见一见老大的四流纸上谈兵的飞行员。""
gaATG_kdStationKing4:将 Gargoyle 给你的电子密钥发给他",
gaATGkdStationKing2,DialogOptionSelected,$option == gaATG_kdStationKing2,"
AdjustRepActivePerson INHOSPITABLE -1","""不，不会的。我最不需要的就是那些谄媚的霸主缉毒佬将尘土落在我干净的空间站里。""",gaATG_kdStationKing4:将 Gargoyle 给你的电子密钥发给他,
gaATGkdStationKing3,DialogOptionSelected,$option == gaATG_kdStationKing3,"
AdjustRepActivePerson INHOSPITABLE -3","""哦，你长了好几个嘴，是吗? 马屁精，你最好注意一点。我可以在换班之前把你和你的旗舰拆成碎片。""",gaATG_kdStationKing4:将 Gargoyle 给你的电子密钥发给他,
gaATGkdStationKing4,DialogOptionSelected,$option == gaATG_kdStationKing4,,"你按下了发送键，没有说一句话就看到这个海盗脸上的表情完全变了。

""哦。家族，嗯? 没有认出你来，也没有见过你。但是，哈哈，Kanta 的人无处不在，额? 上帝啊，你应该早说的。""{$heOrShe}没有让你去吸真空的时候{$hisOrHer的}声音轻柔多了。

""你知道规矩，领主不喜欢用通讯器，所以我必须给你预约一次法庭会见。到空间站上来，我会找人来接你。""",gaATG_kantaIntro1:在 Kanta's Den 着陆,
gaATGkantaIntro1,DialogOptionSelected,$option == gaATG_kantaIntro1,"ShowDefaultVisual
EndConversation DO_NOT_FIRE","你把四名警卫和驾驶员留在穿梭机上。又有两名警卫跟着你，派来引见的海盗上尉点头表示这是正确的。

你被带领穿过通向空间站中心的主通道。你很快就适应了这里杂乱无章的反重力场，你怀疑这是故意所为，因为很多各种各样、各个年龄的海盗都在看着你寻找弱点，低声说着粗鄙之语，或是推搡着争夺声望。

你甚至能从他们的脸上以及他们穿的无政府制服看出他们的关系{-}这是个家族式的组织。他们佩戴着奖章，穿着饰有黄金和宝石的战斗装甲，还有偷来的高端真空服{-}重新漆上了杂牌颜色，还戴着粗鲁打结的速子科技领巾; 都是些炫耀的奢侈穿着。他们将自己的财富穿在外表上，越花哨越好。",gaATG_kantaIntro2:继续走,
gaATGkantaIntro2,DialogOptionSelected,$option == gaATG_kantaIntro2,,"穿过挂着深红色骷髅横幅的斑驳防爆门，一个大隔间打开了。这里的空气中弥漫着挥之不去的能量武器释放的刺激性气味，几乎能掩盖这里腐肉的臭味。

你被带到一个只能被称为王座的地方前，不雅的血红色背光灯以最大功率从其后方照着。很多海军军官的军帽，奖章和徽章被刺穿在由战利品武器熔成的花簇上。你能认出其中有英仙座星区各个势力的装备。",gaATG_kantaIntro3:继续,
gaATGkantaIntro3,DialogOptionSelected,$option == gaATG_kantaIntro3,"BeginConversation kanta false true
$player.metKanta = true","在其上是发出嘶嘶声和嗡嗡声的领主 Jorien Kanta，她现在比起人类更像一台机器。她的脸就是个面具。你能看到的皮肤就像是老航行家的红色疤痕一样坚硬。

合成的嗓音从王座中发出，""在 Kanta面前屈服!""",gaATG_kantaIntro4:继续,
gaATGkantaIntro4,DialogOptionSelected,$option == gaATG_kantaIntro4,"ShowSecondPerson cydonia
$player.metCydonia = true
SetPersonHidden cydonia false","在她前面是一个奇怪的小个子男人，弓着身子。他穿着一种医生外科手术服的滑稽的仿制品。

""你最好跪下，""医生低声说道。","gaATG_kantaIntro4kneel:下跪
gaATG_kantaIntro4stand:站着",
gaATGkantaIntro4kneel,DialogOptionSelected,$option == gaATG_kantaIntro4kneel,,"如果损坏的大气清洁器能够发笑，那么 Kanta 发出的噪音大概就是这样的声音。

""一个下跪者!""她喊道。她的卫兵神情自若。""看来你明白谁是这里的强者。找准你的位置。Kanta 会监视着你。""

医生做出了面无血色的扭曲表情。",gaATG_kantaMeeting1:继续,
gaATGkantaIntro4stand,DialogOptionSelected,$option == gaATG_kantaIntro4stand,AdjustRepActivePerson COOPERATIVE 5,"如果损坏的大气清洁器能够发笑，那么 Kanta 发出的噪音大概就是这样的声音。

""一个站立者!""她喊道。你注意到她的守卫神情自若。""我们喜欢你。一个霸主佬只会跪在污泥之中，因为他们只知道顺从和卑躬屈膝。而你像一个航行家一样站着。""

她的头看向你。""Kanta 会听一下你的话。""",gaATG_kantaMeeting1:继续,
gaATGkantaMeeting1,DialogOptionSelected,$option == gaATG_kantaMeeting1,,"小个子医生走上前清了清嗓子说，""我是 Cydonia 医生，领主的私人秘书，""

他脖子僵硬地点了点头，微微一鞠躬，在法廷前对你说:""你有一个 Kanta 家族 Nashyan 的标志，她是家族外围的人! 但 Nashyan 并没有给你这个标志{-}我核查过了。""

现在卫兵们做出反应，放下了武器，不再对准你。",gaATG_kantaMeeting2:继续,
