id,trigger,conditions,script,text,options,notes
# interaction with target market,,,,,,
extrOpenMarket1,OpenInteractionDialog,"$market.extr_target score:1000
Call $market.extr_ref updateData
$extr_variation == COLONY
!$extr_addedRaidObjective","AddRaidObjective genericIcon ""Perform extraction operation"" $extr_danger 3000 extrRaidFinished
$extr_addedRaidObjective = true 0
FireBest OpenInteractionDialog",,,
extrOpenMarket2,OpenInteractionDialog,"$market.extr_target score:1000
Call $market.extr_ref updateData
$extr_variation == PIRATE_BASE
!$extr_addedRaidObjective","AddRaidObjective genericIcon ""Perform extraction operation""$extr_danger 5000 extrRaidFinished
$extr_addedRaidObjective = true 0
FireBest OpenInteractionDialog",,,
extrOpenMarket3,OpenInteractionDialog,"$market.extr_target score:1000
Call $market.extr_ref updateData
$extr_variation == LUDDIC_PATH_BASE
!$extr_addedRaidObjective","AddRaidObjective genericIcon ""Perform extraction operation"" $extr_danger 5000 extrRaidFinished
$extr_addedRaidObjective = true 0
FireBest OpenInteractionDialog",,,
extrRaidFinished1,extrRaidFinished,"$extr_variation == COLONY
Call $market.extr_ref updateData","$market.extr_needToReturn = true
Call $market.extr_ref updateStage","当突击穿梭机在码头上停靠时，你感受到了着陆的震动。你向护送获救特工的军医和陆战队员致意，他们向你敬礼，获救的特工因为意识过于模糊，没有认出你就是他们的救星。

无所谓了。
",,
extrRaidFinished2,extrRaidFinished,"$extr_variation == PIRATE_BASE
Call $market.extr_ref updateData","$market.extr_needToReturn = true
Call $market.extr_ref updateStage","被解救的特工浑身是血，但还活着，他被一名医护人员和两名警卫护送到了安全的地方。

充满怨念和无力感的复仇誓言在通信中出现。你向你的通讯员点头，接着对方关闭了公用频道。",,
extrRaidFinished3,extrRaidFinished,"$extr_variation == LUDDIC_PATH_BASE
Call $market.extr_ref updateData","$market.extr_needToReturn = true
Call $market.extr_ref updateStage","被解救出来的特工筋疲力尽，虽然还活着，但看起来需要好好地休整一阵子了，他被一名医护人员和两名警卫护送到了安全的地方。

充满怨念和无力感的复仇誓言在通信中出现。你向你的通讯员点头，接着对方关闭了公用频道。",,
extr_barIntercept,DialogOptionSelected,"$option == marketVisitBar
$market.extr_target score:1000
!$extr_skipBarIntercept
Call $market.extr_ref updateData",,"穿梭机最终接近了港口区域，驾驶员监督着姿态推进器的脉冲信号。

你收到了通讯请求。那是一个传入请求 - 未知来源的加密语音连接。","extr_pickUp:接受通讯请求
extr_ignore:忽略它并直接前往酒吧",
extr_barIgnore,DialogOptionSelected,$option == extr_ignore,"$option = marketVisitBar
$extr_skipBarIntercept = true 0
FireBest DialogOptionSelected
unset $extr_skipBarIntercept",,,
extr_barPickUp,DialogOptionSelected,$option == extr_pickUp,"SetStoryOption extr_storyOption general ""与对方协商和平移交目标""
Highlight $extr_storyCost
DoCanAffordCheck $extr_storyCost extr_storyOption false","你接受了通讯请求。一个声音从你速子平板的静态显示器中发出。

""{$playerName}舰长。我知道你来这里的真正原因，我相信我们可以私下这个问题，但出于政治考虑，我必须保持匿名。""

""我明白你使用致命武力的能力不容小觑。因此我想给出一些建议，能避免一些流血牺牲。""

""舰长，您一定要相信我。当然，我不能就这么把你想要的送给你; 它的价格是{$extr_storyCost}星币。我希望对你来说这值得让步。""","extr_storyOption:选择合作并支付星币
extr_ignore:挂掉通讯并前往酒吧",
extr_barStoryOption1,DialogOptionSelected,$option == extr_storyOption,RemoveCommodity credits $extr_storyCost,"对方为你提供了一个一次性账户用于转账。

""太好了，舰长，""那个声音说，""我确认已经收到你了的付款。接着，我只需要很短的时间来做出安排。""

这个声音指示你去一个特定的酒吧，名为{Eduardo}，它在广场附近。""再见，{$playerName}舰长，""声音最后这么说到。

时间一分一秒地过去，你的目标 - 以及星币 - 可能都会离你而去，带着这种消沉的感觉，你走进了酒吧。",extr_continue1:继续,
extr_barStoryOption2,DialogOptionSelected,$option == extr_continue1,"$market.extr_needToReturn = true
Call $market.extr_ref updateStage
FireAll extrBarStoryOptionHub","你一走进昏暗的灯管照明的室内，店主就抬起头来。""嘿!""你被这语气吓了一跳。""你不能就这么让你的朋友睡在这里，我又不是开酒店的，对吧?""这一定是{Eduardo}了。

{Eduardo}把你拉到酒吧的一个角落里，那里有一个似乎喝醉了的人，一个防辐射面具一样的东西罩住了他的脸。你把那东西拿开，发现这人就是你的撤离目标。对方的脸色有些苍白，失去了知觉，还流着口水，但你知道这张脸和你的情报相符。

""也许你的朋友在磕药，但我不想惹麻烦，我不会问不该问的。你看，我把他照顾的很好吧? 千万别打市政电话。现在你带着你的朋友走吧。走，出去!""当你抬起那松弛的身体时，老板试图把你推出酒吧。","

",
extr_barStoryOptionHubA,extrBarStoryOptionHub,,,,extr_continue2:离开,
extr_barStoryOptionHubB,extrBarStoryOptionHub,!$askedRecognize,,,"extr_continue3a:""等等，你怎么认出我来的?""",
extr_barStoryOptionHubC,extrBarStoryOptionHub,!$askedHow,,,"extr_continue3b:""我的{'朋友'}是怎么来的?""",
extr_barStoryOption3a,DialogOptionSelected,$option == extr_continue3a,"$askedRecognize = true 0
FireAll extrBarStoryOptionHub","{Eduardo}翻了翻白眼: ""你的另一个朋友给我看了你的全息照，说: 看，我的另一个舰长朋友要来接这个人了。""

""现在快走吧，我不想让人们认为我的酒不好，或者{Eduardo}经营的餐厅没有档次。走，走!""",,
extr_barStoryOption3b,DialogOptionSelected,$option == extr_continue3b,"$askedHow = true 0
FireAll extrBarStoryOptionHub","{Eduardo}大声叹了口气: ""我告诉你，然后你马上就会走的对吧? 现在我告诉你: 我什么都没看见。我开的是招待太空船员的酒吧，不是儿童托儿所。一批又一批的人会拜访这里，然后离开。我不会多管闲事，不会问重要的问题，只会问{'近况如何?'}或者{'燃料又涨价了不是吗?'}，这就是本分。""

""我们说好了的，现在你快走。出去，出去!""",,
extr_barStoryOption3,DialogOptionSelected,$option == extr_continue2,"ShowDefaultVisual
FireAll PopulateOptions","离开酒吧后，你把这个失去知觉的家伙递给了你的一个保镖，他使用了一些巧妙的技巧，让搬人看起来变得轻松了不少。

在穿梭机上，检查报告显示特工被大量且熟练地注射了镇静剂。

在你的旗舰上的安全区域恢复意识后，特工一开始满腹狐疑，完全没有展现出合作的态度 - 直到你对上了暗号。冷静下来后，他也无法解释自己为什么会在{Eduardo}酒吧。

也许这无关紧要; 你只需要把他找回来，拿到工资，任务就完成了。",,
# returned with target,,,,,,
extrMissionReturn1,PickGreeting,"$extr_returnHere score:1000
Call $extr_ref updateData
$extr_variation == COLONY
FireBest GenericMissionReturn","ShowPersonVisual
$extr_completed = true
Call $extr_ref updateStage","""令人印象深刻，舰长，""{$faction $rank}说。""我听说你在帮助我们在取得情报一事上取得了巨大成功。分析师们非常兴奋。""",contact_pickAnotherGreeting:继续,
extrMissionReturn2,PickGreeting,"$extr_returnHere score:1000
Call $extr_ref updateData
$extr_variation == PIRATE_BASE
FireBest GenericMissionReturn","ShowPersonVisual
$extr_completed = true
Call $extr_ref updateStage","""做得不错，舰长。""{$faction $rank}说，""我们的特工...会痊愈的。""

{$HeOrShe}靠在椅背上，眼睛盯着一些说不清道不明的东西。""另一方面，我们获得了有关海盗的组织，行为模式，以及他们在政府部门的替罪羊的情报，我们将迅速给予他们应得的正义。""",contact_pickAnotherGreeting:继续,
extrMissionReturn3,PickGreeting,"$extr_returnHere score:1000
Call $extr_ref updateData
$extr_variation == LUDDIC_PATH_BASE
FireBest GenericMissionReturn","ShowPersonVisual
$extr_completed = true
Call $extr_ref updateStage","""干得好，舰长，""{$faction $rank}说，""我必须承认，我根本没有料到我们的特工能被安全救出。左径分子...跟他们的战斗总是如此残酷。""{$HeOrShe}摇着{$hisOrHer}头。

""情报人员告诉我，我们的特工提供的信息可以让我们找到大量渗透进来的左径分子。我不会透露细节，但你知道这意味着什么。我想我不必强调你救了多少人的命。""",contact_pickAnotherGreeting:继续,
,,,,,,
# custom military bounty,,,,,,
mcbBlurb,mcb_blurb,,,"""这又有了一些新目标，""{$heOrShe}叹了口气，""如果你能从里边挑一份赏金，我负责处理的事可能会少些麻烦。""",,
mcbOfferOption,mcb_option,,,,mcb_start:问问赏金清单里有什么,
mcbBlurbBar,mcb_blurbBar,,,一位军官正在一张看起来不错的桌子上等待着什么; 你看到一个雇佣舰长走了过去，双方简单地说了几句话，还敲了敲数据板。他们似乎是某种星系巡回联络人，负责将赏金任务外包出去。,,
mcbOfferOptionBar,mcb_optionBar,,,,mcb_startBar:和负责军方悬赏任务的{$mcb_manOrWoman}谈谈,
mcbOfferTextContact,DialogOptionSelected,$option == mcb_start,"$missionId = mcb
$option = mcb_showOptions 0
FireBest DialogOptionSelected","""这里有几个目标。""{$Post $personLastName}调出一个共享显示屏，上边显示着一系列的情报。""我们的行动舰队马上就会处理掉你不接的单子，所以你可以随便选。你认为你能胜任什么样的工作?""",,
mcbOfferTextBar,DialogOptionSelected,$option == mcb_startBar,"$missionId = mcb
$option = mcb_showOptionsBar 0
FireBest DialogOptionSelected","你走过去，{$rank $personLastName}敷衍地点了点头。""舰长，""{$heOrShe}带着公事公办的语气说。

""这里有几项任务要处理，""{$heOrShe}低下头，滚动着{$hisOrHer}数据板。一杯没加糖的黑咖啡正放在{$hisOrHer}手边的桌子上晾着。""你能胜任怎么样的工作?""",,
mcbLowSel,DialogOptionSelected,$option == mcb_low,"$mcb_difficulty = LOW 0
FireBest MCBShowBounty",,,
mcbNormalSel,DialogOptionSelected,$option == mcb_normal,"$mcb_difficulty = NORMAL 0
FireBest MCBShowBounty",,,
mcbHighSel,DialogOptionSelected,$option == mcb_high,"$mcb_difficulty = HIGH 0
FireBest MCBShowBounty",,,
MCBShowBounty,MCBShowBounty,,Call $mcb_ref showBountyDetail,,mcb_showIntel:继续,
MCBShowBountyShowShips,DialogOptionSelected,$option == mcb_showIntel,Call $mcb_ref showBountyAssessment,,"contact_accept:接受
contact_decline:谢绝
mcb_showOptions:问问其它的目标",
MCBShowBountyBar,MCBShowBounty,$mcb_barEvent,Call $mcb_ref showBountyDetail,,mcb_showIntelBar:继续,
MCBShowBountyShowShipsBar,DialogOptionSelected,$option == mcb_showIntelBar,Call $mcb_ref showBountyAssessment,,"contact_acceptBar:接受
contact_declineBarNoContinue:谢绝
mcb_showOptionsBar:问问其它的目标",
