id,trigger,conditions,script,text,options,notes
contactMissionDeclineGenericBar,DialogOptionSelected,$option == contact_declineBar,"FireBest ContactPrintDeclineText
BarCMD returnFromEvent true",,,
contactMissionDeclineGenericBarNC,DialogOptionSelected,$option == contact_declineBarNoContinue,BarCMD returnFromEvent false,,,
contactPrintAcceptTextGeneric,ContactPrintAcceptText,,,"""好极了，我想你不会后悔的""
OR
$HeOrShe}拱手致礼，说{""干得好!""
OR
""我就知道，和你的交易令人愉悦""
OR
$HeOrShe}笑了笑，""我就知道，你会同意的。""
OR
""明智的决定。""{$HeOrShe}说着给了你一个很神秘的微笑。
OR
""真是令人愉悦!我想你会得到我...们所期望的东西。""
OR
$HeOrShe}点头致意，说{""干得好!""}",,
contactPrintAcceptTextSpacer,ContactPrintAcceptText,$voice == spacer,,"""嗯，一个好买卖。""{$HeOrShe}说。
OR
$HeOrShe}点了点头，""行吧""
OR
""全面绿化!""{$HeOrShe}说道。
OR
""不错。""{$HeOrShe}点了点头。
OR
""干得好。""{$HeOrShe}说道。
OR
""祝您引擎常亮。""{$HeOrShe}说道。
OR
$HeOrShe}看起来很高兴。""一路顺风，舰长。""
OR
$HeOrShe}点了点头说道，""一切就绪。""",,
contactPrintAcceptTextSoldier,ContactPrintAcceptText,$voice == soldier,,"此时，$HeOrShe}敬了个礼，说:{""长官好!""
OR
$HeOrShe}说道:{""那是肯定的""
OR
$HeOrShe}点头致意，""允许操作!""
OR
$HeOrShe}点了点头，说道。""可以行动!""
OR
""收到!长官，""{$HeOrShe}点头致意。""我会等待你的确认。""",,
contactPrintAcceptTextFaithful,ContactPrintAcceptText,$voice == faithful,,"$HeOrShe}微笑着说:{""舰长，愿卢德与你同在。""
OR
$HeOrShe}轻声说道。""愿这份协议得到祝福。""
OR
$HeOrShe}微笑着，拱手致礼，说:{""愿这次付出结出甜美的果实。""
OR
$HeOrShe}说道:{""愿我们的工作结出和谐的果实。""}然后低头片刻。
OR
$HeOrShe}说道:{""卢德保佑。""
OR
$HeOrShe}点头致意，说道:{""保佑。""",,
contactPrintAcceptTextAristo,ContactPrintAcceptText,$voice == aristo,,"""多么令人愉悦的小买卖，舰长""
OR
""谢谢你，舰长。""{$HeOrShe}微笑着说:{""这会成为很有趣的一件事。""
OR
""多么令人愉悦!这一定是被迫谋生的感觉。""
OR
""噔噔!我干的怎么样?""{$HeOrShe}自问自答，""就像我叔叔说的一样有趣。""
OR
""噢，太棒了!我想我们的天父会同意的。""
OR
""那就对了!""{$HeOrShe}说道，""妈妈一定会为我感到骄傲""",,
contactPrintAcceptTextOfficial,ContactPrintAcceptText,$voice == official,,"""好的，我该回去完成这些表格了。""
OR
""搞定!还需要帮忙吗?""
OR
""那就这么定了。""{$HeOrShe}点了点头。
OR
""好!""{$HeOrShe}说，""各方确认。""",,
contactPrintAcceptTextBusiness,ContactPrintAcceptText,$voice == business,,"""我想这对于我们是双赢的，舰长。""{$HeOrShe}说道。
OR
""好买卖!""{$HeOrShe}笑了笑，""就这么定了。""
OR
$HeOrShe}说:{""合作愉快!""
OR
""我想和你一起投资我们的未来。""{$HeOrShe}微笑着说。",,
contactPrintAcceptTextScientist,ContactPrintAcceptText,$voice == scientist,,"""我欣赏你的明智选择，舰长。""
OR
""很理智的决定。""
OR
""你比你看起来的明智多了，舰长。""{$HeOrShe}恭敬地说道。
OR
$HeOrShe}说:{""我知道，你会做出理智的选择。""
OR
""好，我现在只要稍微地计算一下...""{$personName}开始敲键盘。

$HeOrShe}抬头说道:{""哦，我们搞定了？""
OR
""啊哈，从统计学上讲，我知道你迟早会同意的。""",,
contactPrintAcceptTextVillain,ContactPrintAcceptText,$voice == villain,,"$HeOrShe}的脸上逐渐浮现出微笑，""非常令人愉悦的决定，舰长。""
OR
""我深知这是我的荣幸""{$HeOrShe}阴沉地说。
OR
""好好好。""{$HeOrShe}轻声地耳语，""你对我会非常地有帮助。""",,
contactPrintAcceptTextPather,ContactPrintAcceptText,$voice == pather,,"$HeOrShe}虔诚地点头致意，""祂说，我们应当如此。""
OR
$HeOrShe}恳求道:{""一起走上祂的道路吧。""",,
contactPrintDeclineTextGeneric,ContactPrintDeclineText,,,"""好吧，如果你改变主意了，务必告诉我们。""
OR
$HeOrShe}似乎正在沉思，""或许...下次吧""
OR
""噢，好吧。""{$HeOrShe}耸了耸肩。
OR
""好吧。""{$HeOrShe}说:{""我想我一定有办法搞定。""
OR
$HeOrShe}点了点头，皱着眉头说:{""我明白了。""
OR
$hisOrHer}的脸上闪过一丝失望的表情，但{$HeOrShe}只是耸了耸肩。
OR
$HeOrShe}体贴地说:{""我想...是你输了，舰长。""
OR
""我们错失了一个机会，舰长，但这是你的决定，不是吗。""",,
genericGreetingNeedTOff,PickGreeting,"$doGenericPortAuthorityCheck score:10000
$player.transponderOn
$hostileToMarket",ShowPersonVisual,"短暂的等待后，你的通讯请求已被接受。一个{$manOrWoman}接通了通讯，浏览了一下屏幕后就切断了连接，丢下你一人傻站着。

你明白了，要想和这人交易，就得关了应答器再来找{$HeOrShe}。",0:cutCommLink:切断通信连接,
genericGreetingNeedClearance,PickGreeting,"$doGenericPortAuthorityCheck score:10000
!$hostileToMarket
$entity.tradeMode != null
$entity.tradeMode != OPEN",ShowPersonVisual,"短暂的等待后，你的通讯请求已被接受。

""在我们开始任何交易之前，我想你需要提前和港务局打个招呼，因为你需要入港许可""",0:cutCommLink:切断通信连接,
genericGreetingNeedNoPatrols,PickGreeting,"$doGenericPortAuthorityCheck score:10000
$hostileToMarket
$entity.tradeMode != null
$entity.tradeMode == NONE",ShowPersonVisual,"短暂的等待后，你的通讯请求已被接受。一个{$manOrWoman}接通了通讯，浏览了一下屏幕后就切断了连接，丢下你一人傻站着。

你明白了，要想和这人交易，就得避免引起巡逻队的注意。",0:cutCommLink:切断通信连接,
genericGreetingNeedNoPatrolsUW,PickGreeting,"$doGenericPortAuthorityCheck score:10000
$tag:underworld
$entity.tradeMode != null
$entity.tradeMode == NONE",ShowPersonVisual,"短暂的等待后，你的通讯请求已被接受。一个{$manOrWoman}接通了通讯，浏览了一下屏幕后就切断了连接，丢下你一人傻站着。

你明白了，要想和这人交易，就得避免引起巡逻队的注意。",0:cutCommLink:切断通信连接,
,,,,,,
,,,,,,
# A quantity of a commodity available cheaply,,,,,,
cheapComBlurb,cheapCom_blurb,,,"""{$cheapCom_commodityName}滞销，帮帮我们。""",,
cheapComOfferOption,cheapCom_option,,,,cheapCom_start:询问{$cheapCom_commodityName}的盈余量,
cheapComBlurbBar,cheapCom_blurbBar,,,一位穿着廉价西装的{$cheapCom_manOrWoman}啜饮着一杯价格合理的饮料，时不时用{$HeOrShe}的Tri-Pad办公。,,
cheapComOfferOptionBar,cheapCom_optionBar,,,,cheapCom_startBar:上去和身着商务套装的{$cheapCom_manOrWoman}交谈,
