id,trigger,conditions,script,text,options,notes
"# Gargoyle, initial conversation",,,,,,
gaKAGargoyleGreeting,PickGreeting,"$id == gargoyle
$gaKA_contact score:1000",ShowPersonVisual,"连接本地网络后，你输入{Gargoyle}的通讯ID并发起了通讯请求。你看了看你的通讯员，他们点头回应，表示做好了行动的准备。

你执行了命令，紧接着电子战控制台亮了起来，就如舰队在星云中行动一般。通信技师冷静地施展着技巧，在导航，传感器和工程站点的协调下，与信息安全网络博弈起来。

仅仅半分钟后，电子战的风暴结束，警报也停止了，你的主屏幕从迷人而支离破碎的电子战场变成了一张神态夸张，顽皮地向你咧嘴笑着的脸。",gaKA_gargoyleCont1:继续,
gaKAGargoyleGreeting1,DialogOptionSelected,$option == gaKA_gargoyleCont1,,"""看来你是有备而来啊! ""{Gargoyle}以过于肉麻的语气非常不正经地说，接着他转向了想象中的观众，""开飞船的家伙们集齐了足够的智慧来对付我小小的{'欢迎仪式'}! ""{Gargoyle}从镜头里跳了回来，为你鼓掌，""干得好! ""

""看起来你已经知道我是谁了。告诉我，为什么{Rayan}会把我的号码给你? 礼物，贿赂，乞求? 他终于惹上了那个吸血的傀儡军政府的麻烦了吗? 在逃避法律的制裁，需要销声匿迹? ""

""你认识新朋友的时候总是那样垮着个脸吗? ""","gaKA_gargoyleCont2:""有份工作给你，我听说你是最棒的。""",
gaKAGargoyleGreeting2,DialogOptionSelected,$option == gaKA_gargoyleCont2,,"""工作? 呃，不。""{Gargoyle}夸张地说，""如果我有{'工作'}过一天，你就可以把我扔到气闸然后把那个气闸扔进黑洞里了。""

黑客漫不经心地说: ""不过...我还听着呢。因为你说我是最棒的，我也确实是。但我不确定你到底知不知道我是做什么的。""

一只嵌满了数据接口的手在你眼前挥了挥，接着你的屏幕被各种新闻片段填满了 - 工业设施关闭，可疑的破坏行动，数据库被黑入，政治通讯泄露，信用点缺失，幽灵舰队。",gaKA_gargoyleCont3:继续,
gaKAGargoyleGreeting3,DialogOptionSelected,$option == gaKA_gargoyleCont3,,"""我做的，""{Gargoyle}又一次坐直了，并且终于严肃了气来，""是施展魔法。""

""机构，政体，战舰，舰队，霸主! 卢德教会! 速子 - 超他妈富裕 - 科技! 这些都是由人组成的机器，而这些人不了解他们自己组成的机器。""他换上了一种嘲弄的语气，""或者是其他人，细想一下。这些神圣的大集合体只不过是场巨大的骗局! ""

""但是我，""{Gargoyle}敲了敲头戴式的数据端口，""我能理解。简单地说，""屏幕上伸出了一根戳着你的手指，""戳戳这里，这里，最后是那里，这一切就会化为泡影。让事情在错误的时间发展朝正确的方向发展，强者就会变成一个悲哀的笑话。一阵风，一个花哨的屁，一个破碎的薄壳。明白了吗? ""","gaKA_gargoyleYes:""嗯，我也这么认为。""
gaKA_gargoyleNotReally:""没有听懂。""
gaKA_gargoyleCanYou:""你能黑进霸主一个部门的数据库吗? """,
gaKAGargoyleYes,DialogOptionSelected,$option == gaKA_gargoyleYes,,"{Gargoyle}目瞪口呆地盯着你。""不你根本没听明白，你只是在装模作样，因为你觉得你不能在你的手下面前丢了面子。""

{Gargoyle}转过身去: ""我为什么要自找麻烦? 开你的飞船去吧，{$playerFirstName}舰长。噼啪嘣! 接招吧，太空海盗! 简单，直接，朴实，毫无艺术感。""

他戏剧性地叹了口气，""真是浪费时间。我们为什么要聊天，还聊了这么久? ""","gaKA_gargoyleCanYou:""你能黑进霸主一个部门的数据库吗? """,
gaKAGargoyleNotReally,DialogOptionSelected,$option == gaKA_gargoyleNotReally,,"{Gargoyle}双手托着下巴，绝望地凝视着你。""我浪费了好多时间在你身上，{$playerFirstName}。我在努力，真的。给我点事做。好吗? 否则我可能会把自己冻结那么一千年。也许那之后会发生一些有趣的事情。""","gaKA_gargoyleCanYou:""你能黑进霸主一个部门的数据库吗? """,
gaKAGargoyleCanYou,DialogOptionSelected,$option == gaKA_gargoyleCanYou,,"""太棒了! ""{Gargoyle}大叫着坐了起来。""真是个辉煌的计划，简直是霓虹灯般的黑! 哪一个部门? 还是所有部门一起? ""遮阳板和网络插件开始闪烁。","gaKA_gargoyleExplain:""别激动 - 事实上，就一个。"" (解释任务)",
gaKAGargoyleExplain,DialogOptionSelected,$option == gaKA_gargoyleExplain,,"你向{Gargoyle}解释起任务目标来 - {Kallichore}档案，前院长{Tomas Kallichore}的个人数据，霸主的技术部门在超空间实验出了问题之后从{Galatia}学院夺走了它。

你还用避免暗示雇佣关系的外交用语解释说，{Rayan Arroyo}将为行动提供资金。",gaKA_gargoyleCont4:继续,
gaKAGargoyleCont4,DialogOptionSelected,$option == gaKA_gargoyleCont4,,在你说话的时候，显示着{Gargoyle}的通讯界面充满了写了一半的什么清单，参考面板和代码片段。黑客在一个又一个的鬼主意间跳跃着，权衡着各种各样的可能事件，他总是能领先你的话几步 - 但也会走偏。视觉上的混乱有点让人分心。,"gaKA_gargoyleCont5:""你需要点时间来理清思路吗? ""
gaKA_gargoyleCont5a:""这任务有完成的可能性吗? """,
gaKAGargoyleCont5a,DialogOptionSelected,$option == gaKA_gargoyleCont5a,"$option = gaKA_gargoyleCont5 0
FireBest DialogOptionSelected",,,
gaKAGargoyleCont5,DialogOptionSelected,$option == gaKA_gargoyleCont5,,"""这可能很难。我得给几个朋友一些信用点来玩一些小把戏。嗯...我们要全力以赴吗? Rayan在买零食...我想我们得全力以赴了，没错。""

""好，现在情况是这样的 - 我的朋友会给你做一个小玩意儿，在你到达{Magec}星系的{Nova Maxios}时那东西就该准备好了。拿上它，然后用你花里胡哨的航行技巧或者什么其他的手段把它装到{Aztlan}星系内霸主的通信中继器上。""

""安装的方法并不难掌握，你船上任何一个技术人员应该都能搞定。""",gaKA_gargoyleCont6:继续,
gaKAGargoyleCont6,DialogOptionSelected,$option == gaKA_gargoyleCont6,,"""事情的关键在那之后: 破解霸主的加密系统。我打算把几年前就掌握的一个小窍门留到现在用。""{Gargoyle}早早地展示了胜利的气势，然后坐了回去，""那将是辉煌的!""

""对。所以，在通讯中继上安装了黑客装置后回来这里，当我给你一份解密数据的副本时你就可以亲自感谢我了。{Rayan}老伙计有我的愿望单。""黑客按了一下按钮，""现在 - """,gaKA_gargoyleCont7:继续,
gaKAGargoyleCont7,DialogOptionSelected,$option == gaKA_gargoyleCont7,,"黑客又按下了一个按钮，{Nova Maxios}主轨道环附近一个小型存储设施的地址以及一个特定存储单元的号码被发到了你的数据板上。""它会被放在那里。""{Gargoyle}笑着说，似乎在暗示这不是在开玩笑。

""在这一切准备好之前，我还有很多事情要做，所以去吧! 当我们完成任务时，{COMSEC}会大发雷霆的，哈哈! ""

{Gargoyle}看向了另一个显示器并将注意力转移到了那之上，接着通讯线路断开了，网络增强器开始以越来越快的速度闪烁起来。",gaKA_gargoyleCont8:继续,
gaKAGargoyleCont8,DialogOptionSelected,$option == gaKA_gargoyleCont8,"ShowDefaultVisual
$global.gaKA_getHackHardware = true
Call $global.gaKA_ref updateStage",,cutCommLinkNoText:继续,
# Nova Maxios - getting the hardware,,,,,,
gaKANewMaxiosOption,PopulateOptions,"$hasMarket
$market.id == new_maxios
$menuState == main
$market.gaKA_getHack",#SetOptionColor gaKA_visitChalet highlight,,3:gaKA_visitStorage:乘坐穿梭机去到{Gargoyle}的存储单元,
gaKANewMaxiosVisit0,DialogOptionSelected,$option == gaKA_visitStorage,,你乘坐穿梭机来到了太空港的大厅，身后跟着一堆保镖和技术人员。接待室的天花板很低，老式的荧光灯闪烁着。但{New Maxios}人对他们的临时政府感到自豪; 一些当地人注意到你们正看着一个滴落的生命维持管道，微笑着互相推搡。,gaKA_visitStorage0:继续,
gaKANewMaxiosVisit0b,DialogOptionSelected,$option == gaKA_visitStorage0,,"{Gargoyle}给你的地址将你带到了一个破旧的物流轨道环区，看起来这里的常客是不定期货船和各种走私者。你向年轻的接待员询问{Gargoyle}给你的储存单元号具体位置在哪里。

""呃，喔对了，想必您就是{R.Boring}舰长? ""店员紧张地斜视着柜台终端 - 你保持着无可挑剔的镇定，没有因为{Gargoyle}的这个小玩笑动摇 - ""几分钟前我刚被告知你会来这里取货。请走这边。""",gaKA_visitStorage1:继续,
gaKANewMaxiosVisit1,DialogOptionSelected,$option == gaKA_visitStorage1,"ShowPersonVisual true clone_loke
$player.metCloneLoke = true","接待员领着你穿过后门 - 一扇浅色的隔板门 - 然后他僵住了: 一个穿着单调的灰色制服的苍白男人就站在门后，如同黑暗中的一个灰点。

""{Loke}先生，""接待员结结巴巴地说，""我没想到，呃，如果有人告诉我 - ""

那个人 - 你猜他就是{Loke}先生 - 温和地微笑着: ""我来给舰长带路。""

{Loke}没有再理会接待员，而把注意力转移到了你身上，依旧面带微笑。他冲你点了点头，转身走进了门后的黑暗中。",gaKA_visitStorage2:跟上去,
gaKANewMaxiosVisit2,DialogOptionSelected,$option == gaKA_visitStorage2,,"{Loke}先生带你经过一排排密封的存储单元，进入了一个巨大的装货港。有着有机化合物味道的什么东西在泄漏着。

{Loke}仍然温和地微笑着，他停下了脚步并挥手打开了一个储物柜。他轻声对你说: ""当听到这个消息时，{Jorien}告诉我她觉得很有趣。她要我来确保你拿到{Gargoyle}让{Elissa}给你做的东西。""

他用湿润的眼睛看着存储单元，""这肯定是个好东西。""","gaKA_visitStorage3:""这些人都是谁? ""
gaKA_visitStorage3a:""多谢了...我想我该这么说。""",
gaKANewMaxiosVisit3a,DialogOptionSelected,$option == gaKA_visitStorage3a,"$option = gaKA_visitStorage3 0
FireBest DialogOptionSelected",,,
gaKANewMaxiosVisit3,DialogOptionSelected,$option == gaKA_visitStorage3,ShowDefaultVisual,"他没有回答，而是恭敬地点头，说了声{""再见""}，然后走进了仓库的阴影里。

你摇了摇头，把注意力转向存储单元，里面只有一个标准货箱。你示意技术人员上前，于是他们提着各种扫描仪凑了过去; 你可不想成为{Gargoyle}的又一个{""笑话""}。",gaKA_visitStorage4:继续,
gaKANewMaxiosVisit4,DialogOptionSelected,$option == gaKA_visitStorage4,,"首席技术人员开始汇报: ""能量源，异常的中微子。还有，嗯，轻微的超波相位失真? ""

技术人员组不约而同地后退了一步，毕竟超波相位技术声名狼藉，而且从没人知道它能在这么小的空间里保持稳定。

一个小时后，当你在附近的一家咖啡馆喝完第二杯热饮时，你的数据板上传来了技术人员告知安全的消息，上边还附着结论，尽管这个设备很奇怪 - 似乎是某种手工制作的一次性超波发射器 - 它应该不会立即构成危险。

你下令把它搬到你的旗舰上。",gaKA_visitStorage5:继续,
gaKANewMaxiosVisit5,DialogOptionSelected,$option == gaKA_visitStorage5,"AddStoryPoints 1
$global.gaKA_installHack = true
Call $global.gaKA_ref updateStage","搭乘返回{$shipOrFleet}的穿梭机时，你思考着将这个设备安装到{Aztlan}超波中继器上而不被霸主巡逻队发现的方法。一支小而快的舰队就能做到，或者相位舰船，它们的相位场可以降低被探测的范围。运气好的话，你也可以碰到巡逻队轮班的时刻...

对讲器噼里啪啦地响了起来: ""舰长，我们到了。""",gaKA_visitStorage6:继续,
gaKANewMaxiosVisit6,DialogOptionSelected,$option == gaKA_visitStorage6,FireAll PopulateOptions,,,
# Hacking Aztlan Relay,,,,,,
gaKA_relayPrintHostilesText,OpenInteractionDialog,"$id == aztlan_relay
$gaKA_installHack score:1000
IsSeenByAnyFleet",ShowDefaultVisual,你的{$shipOrFleet}刚刚被一支附近的舰队探测到 - 亦或是正在被其追逐，这使得秘密安装黑客装置不可能实现。,defaultLeave:离开,
gaKA_relayObjectInteraction,OpenInteractionDialog,"$id == aztlan_relay
$gaKA_installHack score:1000",ShowDefaultVisual,你的{$shipOrFleet}接近了{$name}。,"daKA_installHack:在{Aztlan}的中继站上安装{Gargoyle}的黑客装置
defaultLeave:离开",
gaKA_relayInstallHack0,DialogOptionSelected,$option == daKA_installHack,,"你向行动组长下达了命令，他则低声叮嘱了精心挑选的资深打捞技师一些注意事项，接着后者搭乘着货运无人机到达了中继站。

整个行动都按照事先规划好的迅速进行完毕。技师用有着低电磁信号的工具进行了几次快速切割，移除了部分舱壁，将{Gargoyle}的装置固定到位。安装在底盘上寄生微型无人机则完成了联接的关键部分 - 主要是接入光纤线路。最后，舱壁被密封完成，队员们随着货运无人机的冷气体推进器启动开始了撤退，就如他们来时一样安静。",daKA_installHack1:继续,
gaKA_relayInstallHack1,DialogOptionSelected,$option == daKA_installHack1,,"很快，你的通讯技师收到了一个短脉冲信号，这证明{Gargoyle}的装置已经开始正常运作。

哪怕是不将{Gargoyle}那漫不经心的态度纳入考量范围，你的通讯和技术官员依然推测这样的入侵很快会被发现。趁你还没被抓个现行，马上逃走会是个正确的选择。",daKA_installHack2:继续,
gaKA_relayInstallHack2,DialogOptionSelected,$option == daKA_installHack2,"$global.gaKA_retrieveArchive = true
Call $global.gaKA_ref updateStage","你在想，霸主会不会利用黑客装置反向追踪到{Gargoyle}的藏身处。速子科技不太可能迅速回应霸主的调查申请，只是这不意味着调查行动不会以""非官方""的方式进行 - 或许那种机密行动也不能用""调查""一词来形容了。

你应该尽快从{Gargoyle}那里取得档案。",defaultLeave:离开,
"# Gargoyle, retrieving archive",,,,,,
gaKAGargoyle2Greeting,PickGreeting,"$id == gargoyle
$gaKA_contactRetrieve score:1000","ShowPersonVisual
FireAll GAKAGargoyleHub","你输入{Gargoyle}的通讯ID并向你的通讯技师点了点头，他已经准备好应对任何{Gargoyle}认为有趣的通讯内容了。

显示器立马显示出了一张熟悉的脸，但上边挂着一种陌生的表情: 恐惧。

""舰长，你得带我上你的船离开这里，我被他们抓到了。但在那之前，我已经完成了工作，太不可思议了。""{Gargoyle}紧张地笑了，""这是第二次{AI}战争以来最伟大的数据盗窃! "" 

黑客似乎已经意识到了情况的严重性: ""我认为 - 他们这次非常，极度，完全不高兴。这里已经不安全了。带我去...{Galatia}学院? {Anahita}能把我藏起来的，对吧? 看在我付出了这么多的面子上，她必须得这么做。""",,
gaKAGargoyle2WhoIsAfterYou,GAKAGargoyleHub,!$askedWho,,,"gaKA_gargoyleWhoIsAfterYou:""等等，你被谁发现了? """,
gaKAGargoyle2DoYouHaveArchive,GAKAGargoyleHub,!$askedDoYouHave,,,"gaKA_gargoyleDoYouHave:""你拿到{Kallichore}档案了? """,
gaKAGargoyle2WhatIfIJustLeaveYou,GAKAGargoyleHub,!$askedWhatIf,,,"gaKA_gargoyleWhatIf:""如果我就这么把你扔下呢? """,
gaKAGargoyle2OrderAShuttle,GAKAGargoyleHub,,,,gaKA_gargoyleOrderShuttle:派出一艘穿梭机去接{Gargoyle},
gaKAGargoyle2WhoIsAfterYouSel,DialogOptionSelected,$option == gaKA_gargoyleWhoIsAfterYou,"$askedWho = true 0
FireAll GAKAGargoyleHub","""就是 - 我 - 所有人! ""

""让我来数数我的新朋友，""{Gargoyle}开始捻着手指，""首先是霸主，{SOMSEC}想派谁来就派谁来。我估计官方追捕行动会引发外交纠纷，所以来的很可能会是持枪刺客 - 会直接杀掉我的那种。接着是速子科技，至少被霸主的鲁莽反应惊醒后他们也会派人来。还有左径分子，霸主就像个筛子一样把这事泄露给了所有的卢德小朋友们，他们会爱死这个情报的。""

""我的好舰长，让我给你总结一下: 在...喔...两三天的时间内，这个地方会因为这件事开始一场交火，每时每刻在广场上买面条的居民都可能变成一个刺客或是间谍。""",,
gaKAGargoyle2DoYouHaveArchiveSel,DialogOptionSelected,$option == gaKA_gargoyleDoYouHave,"$askedDoYouHave = true 0
FireAll GAKAGargoyleHub","""没时间了! 但是 - ""{Gargoyle}得意地笑着说，""我知道你想干什么。别担心，我把它锁得很好，用我的小技巧加密还备份了。如果你能找到它，哪怕是用阿尔法核心来破解它也要花费不少时间，更何况你还不知道它在哪。""

""如果我们把你们正在密谋的一切都透露给坏蛋霸主，{Anahita}教授就不会有什么时间了。所以，来接我的穿梭机呢? """,,
gaKAGargoyle2WhatIfIJustLeaveYouSel,DialogOptionSelected,$option == gaKA_gargoyleWhatIf,"$askedWhatIf = true 0
FireAll GAKAGargoyleHub","{Gargoyle}的声音变冷了: ""那样你就得不到你想要的档案了，{$playerName}舰长。因为我把它锁得很好，还做了备份。顺便说一句，我掌握了包括{Rayan Arroyo}以及你老板{Anahita Baird}在内各种人的情报! 你当然也有份，舰长。当霸主最高领导人在全星区新闻频道上看到你让我黑掉他们宝贵的技术部门时，他会大发雷霆的。""

黑客的笑容中没有一丝温度，""要么带上我，要么你会失去一切，舰长。""",,
gaKAGargoyle2OrderAShuttleSel,DialogOptionSelected,$option == gaKA_gargoyleOrderShuttle,"$global.gaKA_returnToAcademy = true
Call $global.gaKA_ref updateStage","{Gargoyle}点了点头，""那样就好，舰长。我来收收我的小东西。""

你的穿梭机并没有收到交通管制员的质询; 看起来他们还不知道发生了什么，大概吧。

你下令将{Gargoyle}关到离舰桥很远的地方，来避免他干扰你的通讯技师观察周围可疑的动静。

""舰长，""你的战术技师叫住了你，""霸主舰队来了。""

该溜了。",gaKA_gargoyleOrderShuttle2:继续,
gaKAGargoyle2OrderAShuttleSel2,DialogOptionSelected,$option == gaKA_gargoyleOrderShuttle2,"EndConversation NO_CONTINUE
DismissDialog",,,
# Conversation with patrol that intercepts you after you leave Magec,,,,,,
gaKAPatrolEncounter,BeginFleetEncounter,"$gaKA_patrol score:1000
!$gaKA_encounteredAlready
Call $global.gaKA_ref updateData","$gaKA_encounteredAlready = true
FleetDesc
HailPlayer",,,
gaKAPatrolOpenComm,OpenCommLink,"$entity.gaKA_patrol score:1000
!$entity.ignorePlayerCommRequests
Call $global.gaKA_ref updateData",$entity.ignorePlayerCommRequests = true,"通讯噼啪作响，仿佛获得了新生，霸主{$rank}出现在了显示屏上，双眼直直地盯着你。""独立舰队的舰长! 我命令你关闭护盾，武器和驱动系统。你涉嫌窝藏一名罪犯以及破坏霸主数据安全。""

{$HisOrHer}嘴唇傲慢地卷了起来: ""霸主海军陆战队即将登船，你的数据库将被查封，你的货物也将被扣押检查。你将会失去你对{$shipOrFleet}的控制权。你不能反抗，犹豫以及不服从将被认为是抗命。现在，立刻交出你的命令代码。""",gaKA_patrol1:继续,
gaKAPatrol1,DialogOptionSelected,$option == gaKA_patrol1,"SetStoryOption gaKA_patrolLie general ""说服霸主巡逻队你没有参与到对技术部的黑客攻击中""","听到这些无异于星际海盗的蛮横命令后，你眨了眨眼。即使是霸主根据旧时代的人之领海军法典制定的法律，也会在这种情况下为你保留一些权力。你猜这个{$rank}过分鲁莽了，以至于在解释{$hisOrHer}命令时没按规矩来。

当作出思考时，你注意到霸主{$rank}的脸变成了更深的红色，对方也许把你的沉默理解成了{""抵抗""}。事已至此，不战而退可能很难。","gaKA_patrolWarrant:""这些可是例外的搜查条款，你有搜查令吗? ""
gaKA_patrolRefuse:""我可不接受那些条款，{$rank}。""
gaKA_patrolLie:用弥天大谎来蒙混过关
gaKA_patrolCut:你可没时间和对面耗，切断通讯
gaKA_patrolWeapons:将武器准备就绪",
gaKAPatrolWarrant,DialogOptionSelected,$option == gaKA_patrolWarrant,"SetStoryOption gaKA_patrolLie general ""说服霸主巡逻队你没有参与到对技术部的黑客攻击中""","霸主{$rank}瞪大了眼睛。""你没有资格提出要求，舰长。""{$heOrShe}几乎要抑制不住自己的愤怒。""你必须关闭所有系统，接受查封，以及逮捕。""

{$HisOrHer}眯起了眼睛: ""现在投降我可能会考虑宽大处理 - 假如你这个叛徒的话里没有一丝不服从的迹象。""","gaKA_patrolRefuse2:""你必须有合法的搜查令。""
gaKA_patrolLie:用弥天大谎来蒙混过关
gaKA_patrolCut:你可没时间和对面耗，切断通讯
gaKA_patrolWeapons:将武器准备就绪",
gaKAPatrolRefuse,DialogOptionSelected,$option == gaKA_patrolRefuse,"SetStoryOption gaKA_patrolLie general ""说服霸主巡逻队你没有参与到对技术部的黑客攻击中""","霸主{$rank}瞪大了眼睛。""这不是一场谈判，舰长。""{$heOrShe}几乎要抑制不住自己的愤怒。""你必须关闭所有系统，接受查封，以及逮捕。""

{$HisOrHer}眯起了眼睛: ""现在投降我可能会考虑宽大处理 - 假如你这个叛徒的话里没有一丝不服从的迹象。""","gaKA_patrolRefuse2:""你必须有合法的搜查令。""
gaKA_patrolLie:用弥天大谎来蒙混过关
gaKA_patrolCut:你可没时间和对面耗，切断通讯
gaKA_patrolWeapons:将武器准备就绪",
gaKAPatrolRefuse2,DialogOptionSelected,$option == gaKA_patrolRefuse2,"$option = gaKA_patrolWeapons 0
FireBest DialogOptionSelected",,,
gaKAPatrolCut,DialogOptionSelected,$option == gaKA_patrolCut,"EndConversation
MakeOtherFleetLowRepImpact gaKA true
MakeOtherFleetGoAway false
MakeOtherFleetImportant gaKA false","在你切断通讯的前一刻，霸主{$rank}的眼睛瞪大了。接着画面变黑，{$hisOrHer}的咆哮随着画面的变黑变成了一片死寂。

""{$PlayerSirOrMadam}，""你的战术军官报告，""他们正在展开攻击阵型。""

你想，这已经严重违反了星区中的商贸法规，因此，相较于损害自己法理上的正统地位，霸主更有可能掩盖接下来发生的任何{""事件""}。",cutCommLink:切断通讯,
gaKAPatrolWeapons,DialogOptionSelected,$option == gaKA_patrolWeapons,"EndConversation
MakeOtherFleetLowRepImpact gaKA true
MakeOtherFleetGoAway false
MakeOtherFleetImportant gaKA false","霸主{$rank}点了点头，带着冰冷的仇恨说: ""你正式暴露了自己作为反动分子和恐怖分子的身份，我从一开始就知道。""

在尖锐的爆鸣声中，通讯中断了。

""{$PlayerSirOrMadam}，""你的战术军官报告，""他们正在展开攻击阵型。""

你想，这已经严重违反了星区中的商贸法规，因此，相较于损害自己法理上的正统地位，霸主更有可能掩盖接下来发生的任何{""事件""}。",cutCommLink:切断通讯,
gaKAPatrolLie,DialogOptionSelected,$option == gaKA_patrolLie,,"你潇洒地行了一礼。

""{$SirOrMadam}。我得说这是一场误会。我正指挥一支特别行动队追捕一名渗透进来的恐怖分子。根据{HERMES BLACK}命令，在行动的过程中我不被允许接入霸主的通讯网络。我上司提供的任务条件也允许我独立行动。""

""{$SirOrMadam}，""你补充道，因为你觉得这样做是对的。",gaKA_patrolLie2:继续,
gaKAPatrolLie2,DialogOptionSelected,$option == gaKA_patrolLie2,,"当你自信地说出听起来合情合理的霸主行话时，{$HeOrShe}看起来一脸狐疑。霸主{$rank}盯着你问道: ""舰长，你为谁服务? 你的上司是谁? ""

不能犹豫了。","gaKA_patrolLie3:""{Orcus Rau}上将，{Ragnar}舰队司令。""",
gaKAPatrolLie3,DialogOptionSelected,$option == gaKA_patrolLie3,,"霸主{$rank}的表情没什么变化。是时候来点锦上添花了。

""他根据{Chicomoztoc}协议将我的舰队作为军事辅助部队纳入了指挥，""你解释道。""所以我不得不把一整箱钚后元素留在{Raesvelg}的港口中。""

""{$SirOrMadam}，""你又补了这么一句。",gaKA_patrolLie4:继续,
gaKAPatrolLie4,DialogOptionSelected,$option == gaKA_patrolLie4,,"这似乎有效果了，你注意到{$rank}的态度在不知不觉中软化了下来。

""{Rau}上将总是会做出一些突破底线的事，不是吗? 这很不正常，舰长，我会向上级汇报的，现在，""{$HisOrHer}抬了抬下巴，""专业人士将接管这场追捕，发送你观察到的任务目标最后的通讯信息和行动路线。""

你带着适当的失望情绪悄悄命令你的导航和通讯技师弄出一些可信的东西来，他们即兴发挥的速度令人钦佩。你看着{$Rank}，注意到{$personLastName}瞥了一眼自己的控制台后露出了满意的表情。","gaKA_patrolLie5:""祝你好运，{$SirOrMadam}。""",
gaKAPatrolLie5,DialogOptionSelected,$option == gaKA_patrolLie5,"MakeOtherFleetHostile gaKA false
MakeOtherFleetGoAway true
MakeOtherFleetImportant gaKA false
EndConversation","""的确，""{$HeOrShe}说，""回去向{Rau}上将报告，建议他不要聪明反被聪明误，把常规行动搞得乱七八糟。""

{$HeOrShe}连个招呼也不打就唐突切断了通讯，你觉得有被冒犯到。

接着你回忆了一下过去，觉得当初那个在闲得无聊的夜晚，把一些注意力投入到在港口酒吧中播放的霸主纪录片上的你十分机智。",cutCommLink:切断通讯,
,,,,,,
# Returned to the Academy with Gargoyle and archive,,,,,,
gaKAReturnToAcademy,OpenInteractionDialog,$market.gaKA_returnHere score:2000,"$global.foundGargoyle = true
ShowDefaultVisual","你的{$shipOrFleet}在排队进入空间站时被打断了; 在这种情况下通常会有交通管制通讯，可这一次，取而代之地，你收到了院长办公室的直接通讯。

""舰长，""你的通讯员报告说，""她想和你说话。""",gaKA_return1:继续,
gaKAReturnToAcademy1,DialogOptionSelected,$option == gaKA_return1,ShowPersonVisual false baird,"{Anahita Baird}的形象出现了。""舰长，把你的{'特别货物'}用穿梭机直接带到这个码头。""她说，与此同时收到导航指示和对接代码的提示音响了起来，""我会等着你的。""

通讯连接被切断了。",gaKA_return2:继续,
gaKAReturnToAcademy2,DialogOptionSelected,$option == gaKA_return2,,"推进器冷却时发出了咔咔声，你走下穿梭机，身后跟着{Gargoyle}。在短暂的穿梭机旅程中，黑客接二连三的提问，建议，以及对任何控制面板或触手可及的小玩意动手动脚的行为让你忍无可忍。

就和之前说好的一样，{Baird}院长带着一小队蒙面警卫和高级顾问在等着你。

""所以这便是{Gargoyle}了，""她说。",gaKA_return3:继续,
