id,trigger,conditions,script,text,options,notes
# GA retrieve instrument package from probe mission,,,,,,
gaProbeBlurb,gaProbe_blurb,,,"""{$gaProbe_department}需要回收来自{$gaProbe_starName}星系里的一个探测器上的仪器套件并将其送回学院分析。""",,
gaProbeOfferOption,gaProbe_option,,,,gaProbe_start:询问有关回收仪器套件相关事项,
gaProbeMissionTextBasic1,DialogOptionSelected,$option == gaProbe_start,"$missionId = gaProbe
SetTextHighlights $gaProbe_reward
$aseb_givePlayerNeutrinoDetector = true 0","""是，是，是，所以这个人说{$gaProbe_department}需要回收一个探测器上的仪器套件并送回来。嗯。他们把它送到了{$gaProbe_starName}星系里搞研究，呃，{$gaProbe_celestialObjectNameWithType}，也不说是为了什么，只是说他们需要把它搞回来。""

{Sebestyen}看你脸色不对，""我知道，我知道。你来这不仅仅是为了取包裹，但这事真的很重要。它是最前沿的科学！这会让我们所有人受益!""然后皱了皱眉头。""天知道呢，可能吧""

""所以并不是整个探测器，就只是仪器包，可以吧？它很小并不会占用一丁点儿货舱，我保证，而且这还有一个好消息，财务主管已经授权支付回收行动{$gaProbe_reward}星币。所以，你觉得如何？""","aseb_accept:接受
aseb_decline:拒绝",
gaProbeMissionTextBasic2,DialogOptionSelected,$option == gaProbe_start,"$missionId = gaProbe
SetTextHighlights $gaProbe_dist $gaProbe_reward
$aseb_givePlayerNeutrinoDetector = true 0","""所以。""[一般来说，你期待在演讲结束后得到一个恳求的眼神，而不是在开始。]

""你是专业的，太空船长，技术高超，领导能力，指挥能力，主动性!,这些都是必不可少的，因为外面的世界充满危险。即使，呃，嗯，{$gaProbe_department}需要回收那探测器上的仪器套件，它被送到了{$gaProbe_dist}光年外的{$gaProbe_starName}星系。我知道你在想啥，但你绝对不是一个单纯取包裹的人。""

""但这可是科学!""{Sebestyen}把他的数据板摔到了地上，他自己也吓到了。""这很重要! 它能拯救整个星域免于陷入，陷入，某种新的黑暗时代!""

""此外，""他补充道，现在看起来平静不少，""财务主管已经授权支付行动报酬{$gaProbe_reward}星币。""","aseb_accept:接受
aseb_decline:拒绝",
# interactions with probe,,,,,,
gaProbePrintHostilesText,OpenInteractionDialog,"$gaProbe_probe score:1000
HostileFleetNearbyAndAware",ShowDefaultVisual,附近的一支敌对舰队正在追踪你的航迹，阻止你派出EVA(舱外活动)小队去检查探测器。,defaultLeave:离开,
gaProbeObjectInteraction,OpenInteractionDialog,"$gaProbe_probe score:1000
Call $global.gaProbe_ref updateData","ShowDefaultVisual
FireBest GAProbeInteraction",,,
gaProbeObjectInteractionBasic,GAProbeInteraction,$gaProbe_variation == BASIC,"$global.gaProbe_canReturn = true
Call $global.gaProbe_ref updateStage
DespawnEntity","你的{$shipOrFleet}靠近探测器，发现它正好就在院长{Sebestyen}任务说明里告诉你它会在的地方。

""小型能量源，活动中""，你的探测官报告道。""碎片净空，导航信号回复正常，一切正常，{$playerSirOrMadam}。""

打捞小队向探测器机动，你透过频闪的显示器看到小队在探测器外壳上开出了几个整齐的切口。不出十分钟，打捞队就完成了任务，拖着学院的仪器套件返回。",defaultLeave:离开,
gaProbeObjectInteractionScavenger,GAProbeInteraction,$gaProbe_variation == SCAVENGER,"$global.gaProbe_scavengerTookIt = true
Call $global.gaProbe_ref updateStage
DespawnEntity","你的{$shipOrFleet}靠近探测器，发现它正好就在院长{Sebestyen}任务说明里告诉你它会在的地方。

""{$PlayerSirOrMadam}""，你的探测官的语气告诉你这不会是好消息，""探测器内部是空的，但。。。""

主舰桥的显示器亮起，显示探测器上切口的温度读数，一小团喷出的碎片云的轨迹可以被逆向至一个点;缓慢消散的近距离机动推进剂云。所有的迹象表明的结论很明确，一个打捞队曾经在这，而且前脚刚走。

你的导航官说道，""船长，如果我们现在就全速前进，我们也许能在最近的跳跃点赶上他们。""",defaultLeave:离开,
