id,trigger,conditions,script,text,options,notes
gaATGlastReturnGargoyle1,DialogOptionSelected,$option == gaATG_lastReturnGargoyle1,ShowSecondPerson gargoyle,"
Gargoyle的脸浮现出来，投射于长桌之上。""他们在哪?"" Baird威胁道，""Ludd七地狱在上，如果你对我撒谎，我会把你一块块地卖给Tri-Tach!""

这名黑客不为所动，盯着舱壁发出嘶嘶声正在漏气的裂缝。""我不知道，"" Garygoyh从容地说道，""在某种程度上，我并没有协助他们... 尽管我可能真的做过，但是他们从来没说那是他们的目的。我只是...提供了他们要的工具。编码、程序、建议。""

""所以你确实帮了他们!"" Baird 咆哮道，""枉我如此保护你，请求High Hegemon忽略你的罪行。你就用这种背叛来回报我?""",gaATG_lastReturnGargoyle2:继续,
gaATGlastReturnGargoyle2,DialogOptionSelected,$option == gaATG_lastReturnGargoyle2,,"
Gargoyle 举起一只手，""不，你一直看着呢。我承认我曾经怀疑疑过，但是我没问。你给了明显的指示，让我满足Scylla的任何要求，任何物品。""

你能看出黑客在压制着玩味的微笑。""我有录音。你之前说的: 'Coureuse说什么就做什么。我不想听到任何无聊的问题。' 我相信那是你的真话。"" ",gaATG_bairdBetrayal1:继续,
gaATGbairdBetrayal1,DialogOptionSelected,$option == gaATG_bairdBetrayal1,HideSecondPerson,"Baird 把手拍在控制台上，终止了通讯。

她的个人通讯响了，然后又响了一阵。她拿起设备，""说""。",gaATG_bairdBetrayal2:继续,
gaATGbairdBetrayal2,DialogOptionSelected,$option == gaATG_bairdBetrayal2,,"
她听了一会，没有任何回应就挂掉了通讯。

她的手在颤抖，摘下了眼镜。你听到了小小的咔哒声。",gaATG_bairdBetrayal3:继续,
gaATGbairdBetrayal3,DialogOptionSelected,$option == gaATG_bairdBetrayal3,,"她转身离开，身体僵硬。

""能给我一把刀吗，舰长?""",gaATG_bairdEndingHub:继续,
gaATGbairdEndingHub,DialogOptionSelected,$option == gaATG_bairdEndingHub,FireAll GAATGBairdEndingHubOptions,"Baird盯着窗外，损坏的眼镜挂在手上晃着。

一扇打开的星门里，你的 $shipOrFleet 正从星门巨大的级联超漩涡中昂扬地飞出。这副景象正在全息投影中缓慢安静地旋转着。",,
gaATGbairdEndingHubOptA,GAATGBairdEndingHubOptions,"!$didWork
!$getOut",,,"gaATG_bairdEndingWork:""看样子我的工作到这就结束了。""",
gaATGbairdEndingHubOptB,GAATGBairdEndingHubOptions,"!$didWanted
!$getOut",,,"gaATG_bairdEndingWanted:""你得到了自己想要的，不是吗?""",
gaATGbairdEndingHubOptC,GAATGBairdEndingHubOptions,"!$didHistory
!$getOut",,,"gaATG_bairdEndingHistory:""历史从来不会按你预想的发展。""",
gaATGbairdEndingHubOptD,GAATGBairdEndingHubOptions,"!$didReap
!$getOut",,,"gaATG_bairdEndingReap:""Ludd不是说过吗? '种因得果'，正是如此。""",
