id,trigger,conditions,script,text,options,notes
"# post gaFC, Laicaille Archon reassigned",,,,,,
postGAFCretiredArchon,PopulateOptions,"$tag:involuntary_retirement
$market.id == laicaille_habitat
!$askedAboutArchon",,"{$HeOrShe}立马就认出了你，并且{$hisOrHer}装作什么也没发生来回应通讯请求的努力失败了。

""{$playerName}舰长，我们又见面了。""","postGAFC_retiredArchon1:""发生了什么? 你不是{Laicaille}的执政官吗?""",
postGAFCretiredArchon1,DialogOptionSelected,$option == postGAFC_retiredArchon1,$askedAboutArchon = true,"""我是，至少曾经是。""{$HeOrShe}沉默了一阵子，""我没有安分守己，因此我 - 或者说我们 - 让联盟里的一些重要人物感到尴尬。让一些惹不起的人成为了敌人，他们让执行委员会站在了我的对立面，就是这样。""

""我并未因此对你怀恨在心，舰长。他们赢了，""{$heOrShe}说, 然后摇了摇{$hisOrHer}的头，""{Laicaille}栖息地不过是英仙座联盟宏伟计划中无关紧要的一部分，不管联盟的宪章里写了什么，这就是事实。""","postGAFC_retiredArchon2:""这也太不公平了，我能做些什么呢?""
postGAFC_retiredArchon1b:""他们会为此追杀我吗?""
cutCommLink:""我很抱歉，但我得先走了。""(切断通讯)",
postGAFCretiredArchon2,DialogOptionSelected,$option == postGAFC_retiredArchon2,,"""没有。""{$HeOrShe}苦笑着说，""你能做到什么呢? 打破{Kazeron}对联盟的控制? 说服{Hannan}家族把采矿船队和加工设施的所有权还给{Laicaille}的人民吗?""

""我输了，舰长。我不喜欢这个结局，但事实就是我的事业已经走到了尽头。你应该庆幸自己在这一切中发挥的作用很大程度上被忽视了 - 这就是我给你的忠告，你最好不要再为这事联系我了。""","cutCommLink:""我很抱歉，但我得先走了。""(切断通讯)",
postGAFCretiredArchon1b,DialogOptionSelected,$option == postGAFC_retiredArchon1b,,"""没有。""{$HeOrShe}苦笑着说，""我不这么认为，你很幸运，{Kazeron}和{Hannan}家族都没有注意到你在这一切中扮演的角色。""

""你最好不要再为此事联系我了，舰长。""",cutCommLink:切断通讯链接,
,,,,,,
postGAFCNewArchon,PopulateOptions,"$tag:replacement_archon
$postId == baseCommander
$market.id == laicaille_habitat
!$askedAboutArchon",,,"postGAFC_newArchonAsk1:""你似乎是新来的，之前的执政官怎么了?""",
postGAFCNewArchon1,DialogOptionSelected,$option == postGAFC_newArchonAsk1,#$askedAboutArchon = true,"""他们被换掉了，""{$heOrShe}一副无所谓的样子，""当然，我是最近才担任起这个职务的。""

""你看，当地的暴民无法维持秩序，而我的家族 - {Hannan}家族 - 已经在这个停滞不前的采矿营地所供养的工业上投入了大量资金，他们决定了这该由专人负责管理。""{$HeOrShe}叹息着，交叉着[$hisOrHer}双臂，""我真幸运。""","postGAFC_newArchonAsk2:""如果你不喜欢这里，为什么不辞职呢?""
cutCommLink:切断通讯",
postGAFCNewArchon2,DialogOptionSelected,$option == postGAFC_newArchonAsk2,,"{$PersonName}看着你:""舰长，我敢说身处你这样的地位的人是不会明白的。我是{Hannan}家族的一员，我承担着责任。""{$heOrShe}特别强调了{""责任""}这词，似乎想表达这是一种贵族义务。

""我将按照家族的要求完成我的工作，那之后我将会担任一个更合适的职务。或许是做什么的副部长，又或许是做一名海军将领。""{$HeOrShe}微笑着说，""当然，那只会是个开始。我有抱负，不像我的一些兄弟姐妹; 而为了实现抱负，我必须做出牺牲 - 就这样。""{$PersonName}摊开{$hisOrHer}手，暗示着{Laicaille}栖息地就是所谓的{""牺牲""}。","postGAFC_newArchonAsk3:""这对你来说一定不好受，不论如何感谢你的服务。""
cutCommLink:""真有意思。就这样吧，再接再厉。""(离开)",
postGAFCNewArchon3,DialogOptionSelected,$option == postGAFC_newArchonAsk3,,"""确实呢。""{$heOrShe}惆怅地望着别处，""我正在数着日子，到了重返文化和财富的中心那一天，我就能清楚自己在这里熬了多久。""

""不论如何，这里应该有值得我做的事。起码也得做个样子，不是么? 和你聊天很有意思，谢谢你，舰长。""",cutCommLink:切断通讯链接,
,,,,,,
# Project Ziggurat,,,,,,
gaPZIntro,OpenInteractionDialog,"$id == station_galatia_academy
!$global.defeatedZiggurat
!$gaPZ_inProgress
$global.gaKA_missionCompleted score:1000
$global.gaFC_missionCompleted score:1000
!$global.gaPZ_missionCompleted
!$global.gaPZ_missionGiven
!$gaPZ_showMeetBairdOption",ShowDefaultVisual,"当你的{$shipOrFleet}按照当地交通管制系统自动下达的指令进入停泊轨道时，你的通讯员向你请求指示。

""舰长，""你的通讯员说，""是{Sebestyen}院士，他想和你谈谈。""",gaPZ_introCont1:继续,
gaPZIntro1,DialogOptionSelected,$option == gaPZ_introCont1,BeginConversation sebestyen,"{Sebestyen}院士出现在了通讯画面中，他看上去坐立不安。

""舰长! 近况如何?""他先打了个招呼，然后结结巴巴地继续开口道，""不，抱歉，我是来向你告知 - 请求一件事的。{Baird}院长想见你一面，商量一件很重要的事。如果您能马上 - 不，在您方便时来见她一面，那就太好了。""他停下来喘了口气。""就是这样。我相信我们很快就会再度碰面的。谢谢你，再见!""

你设法在{Sebestyen}异乎寻常地嘟嚷时关闭了通讯链接。",gaPZ_introCont2:继续,
gaPZIntro2,DialogOptionSelected,$option == gaPZ_introCont2,"EndConversation DO_NOT_FIRE
$gaPZ_showMeetBairdOption = true
FireBest GAPostOpen
#ShowDefaultVisual
#FireAll PopulateOptions",,,
gaPZIntroMeetBairdOption,PopulateOptions,"$id == station_galatia_academy
$gaPZ_showMeetBairdOption",,,gaPZ_meetBaird:通知工作人员院长正准备见你一面,
gaPZIntro3,DialogOptionSelected,$option == gaPZ_meetBaird,unset $gaPZ_showMeetBairdOption,"""哦?""初级工作人员对你扬起眉毛，假装相信你的陈述并开始检查他们的数据板

""喔。""你从他们脸上看到了预期的结果，""喔! 的确如此。{$playerSirOrMadam}，我们随时可以带您去与{Baird}院长会面，如果您能立马跟我来的话那真是太棒了。""",gaPZ_introCont4:继续,
gaPZIntro4,DialogOptionSelected,$option == gaPZ_introCont4,"BeginConversation baird
ShowSecondPerson gargoyle","你又一次走进了院长的办公室。{Baird}的桌子看上去比平时更乱，上面放着数据存储核心，转接设备和一个奇怪的哑光灰色盒子。

""很好，你来了，我相信{Gargoyle}应该会通过通讯来加入会谈 - ""{Baird}恼火地瞟了一眼桌上的便携式全息通讯装置，那当中显示出来的黑客的脑袋正看着别处，他显然没把注意力放在你们身上。",gaPZ_introCont5:继续,
gaPZIntro5,DialogOptionSelected,$option == gaPZ_introCont5,,"{Baird}把身子转向了你，开始了她的发言。""在检查了解密的{Kallichore}档案之后 - ""这引起了{Gargoyle}的注意，""我们现在有了前任院长与速子科技公司高层勾结的确凿证据。""

""速子科技公司在核心星域之外一个代号为{'Alpha站点'}的地方进行被霸主禁止的研究。这些已经记录下来的通讯文件被算法剥离了或许能推测出其含义的上下文描述。然而，""{Baird}停顿了一下，似乎在享受自己知晓你不了解的一些事情的时刻。","gaPZ_introCont6a:等着她说下去
gaPZ_introCont6b:""然而?""",
gaPZIntro6a,DialogOptionSelected,$option == gaPZ_introCont6a,"$option = gaPZ_introCont6b 0
FireBest DialogOptionSelected",,,
gaPZIntro6b,DialogOptionSelected,$option == gaPZ_introCont6b,,"""有很多迹象表明，这其中有一名参与者的姓氏是'{Astraia}'。我们几乎可以肯定的是 - ""

{Gargoyle}打断道: ""{Kelise Astraia}，前武器工程师，受雇于速子科技在{Hybrasil}星系的{Culann}星际锻造厂工作。考虑到高层似乎认为此人对这个项目至关重要，她的薪水也太低了。""

{Baird}抬起下巴: ""谢谢你，{Gargoyle}，现在请慷慨地给这位舰长详细说明一下。""

黑客笑了: ""很乐意! 回归正题，速子科技因为一些事件{'解雇'}了Kelise，但如果你看看她的信用记录...""黑客轻触了某些按钮，接着屏幕上出现了表格和数字，""有后续的额外付款，还是数额巨大的信用点，与一个不知道具体是什么的{'通灵塔项目'}有关。这弥补了她在{Culann}的低工资，而且...""",gaPZ_introCont7:继续,
gaPZIntro7,DialogOptionSelected,$option == gaPZ_introCont7,,"{Baird}用一只手把全息通信装置的音量调低，她盯着你说: ""我们认为{Kelise Astraia}其实是升职了，并且被派到了这个{'Alpha站点'}。显然还有其他人参与其中，不过她是一名高级军械工程师，她的学识显然和这个项目有关。只是她在信息保密方面的工作太草率了点。""

""我想知道速子科技公司在{Alpha站点}到底做了什么。我们目前最好的线索就是{Kelise Astraia}。去{Hybrasil}，找找她去了哪。肯定有人知道她去了哪里或者有她正打算做什么的线索。速子科技公司到处都有眼线; 一定有人会愿意把这些信息卖给你。""",gaPZ_introCont8:继续,
gaPZIntro8,DialogOptionSelected,$option == gaPZ_introCont8,FireAll PZIntroHub1,"{Baird}转过身，目光穿过不甚透明的，镶嵌着金刚石颗粒的窗户，俯瞰着{Galatia}学院的附属建筑和大厅。

""我相信你能帮我找到她，舰长。就像你之前找到{Coureuse}一样。""",,
PZIntroHub1a,PZIntroHub1,!$gaPZ_introHub1a,,,"gaPZ_introHub1a:""你有其他线索吗?""",
PZIntroHub1b,PZIntroHub1,!$gaPZ_introHub1b,,,"gaPZ_introHub1b:""你知道他们在研究些什么吗?""",
PZIntroHub1c,PZIntroHub1,!$gaPZ_introHub1c,,,"gaPZ_introHub1c:""{Gargoyle}，你有更多的情报吗?""",
PZIntroHub1d,PZIntroHub1,,,,"gaPZ_introCont9:""我想我心中有数了。""",
PZIntroHub1aSel,DialogOptionSelected,$option == gaPZ_introHub1a,"$gaPZ_introHub1a = true 0
FireAll PZIntroHub1","""没有，""{Baird}说，""至少现在没有。""

""{Coureuse}的团队正在研究{Kallichore}档案里的其他东西，但是...""{Baird}依旧背对着你，若有所思地揉着眼镜，""现在下结论还太早了，舰长，当其中出现有价值的情报时，我会通知你的。""",,
PZIntroHub1bSel,DialogOptionSelected,$option == gaPZ_introHub1b,"$gaPZ_introHub1b = true 0
FireAll PZIntroHub1","""我有一个很可能是正确的猜想，""{Baird}院长说，""但我不想让你在调查前产生主观认知。""

她回头看了你一眼: ""从速子科技投入这个项目的资源来看，他们要么取得了巨大的进展，要么迎接了巨大的失败。""",,
PZIntroHub1cSel,DialogOptionSelected,$option == gaPZ_introHub1c,"$gaPZ_introHub1c = true 0
FireAll PZIntroHub1","黑客似乎在说着什么，但因为扬声器被关掉了，一点声音也没传过来。似乎是发现了这一点，{Gargoyle}的全息脑袋向{Baird}投去了一个恼怒的眼神。

""你可以私下里联络{Gargoyle}，舰长。""{Baird}这么说道，但她没有看你，也没有看全息通信显示屏。",,
PZIntroHub1dSel,DialogOptionSelected,$option == gaPZ_introCont9,"$global.gaPZ_missionGiven = true
BeginMission gaPZ","""那你就继续执行任务吧，舰长。""院长说。

你感觉到身后的门打开了，一个警卫正等着护送你离开办公室。",gaPZ_introCont10:离开,
gaPZIntro10,DialogOptionSelected,$option == gaPZ_introCont10,"EndConversation DO_NOT_FIRE
ShowDefaultVisual
FireAll PopulateOptions",,,
"# talk to Gargoyle during the ""find Kelise"" stage",,,,,,
gaPZAskGargoyleKelise,PopulateOptions,"$isPerson
$id == gargoyle
$global.gaPZ_inProgress
!$askedAboutKelise
Call $global.gaPZ_ref updateData
$gaPZ_stage == GET_KELISE_LEAD",,,"gaPZ_gargKelise:""你能帮我找找{Kelise Astraia}吗?""",
gaPZAskGargoyleZig,PopulateOptions,"$isPerson
$id == gargoyle
$global.gaPZ_inProgress
!$askedAboutZig
Call $global.gaPZ_ref updateData
$gaPZ_stage == GET_KELISE_LEAD",,,"paPZ_gargZig:""你刚才说的{'通灵塔计划'}到底是什么?""",
gaPZ_gargOpts1Sel,DialogOptionSelected,$option == gaPZ_gargOpts1,FireAll PopulateOptions,,,
gaPZAskGargoyleKeliseSel,DialogOptionSelected,$option == gaPZ_gargKelise,$askedAboutKelise = true 10,"""你问了! 噢，太美妙了。""{Gargoyle}来回晃动，似乎因为狂喜产生了剧痛，""友好地请求 - 这就是想得到答案时最需要做的，但你知道并不是每个人都能做到这点。""

{Gargoyle}邪笑了一阵子，然后强迫自己冷静了下来，并装出一副官方的口吻: ""很荣幸在这项任务中协助你，舰长。我会尽我最大的努力。""","gaPZ_gargKelise1:""好，这么说你会帮忙咯?""",
gaPZAskGargoyleKeliseSel1,DialogOptionSelected,$option == gaPZ_gargKelise1,Call $global.gaPZ_ref makeArroyoImportant,"当黑客拿起数据板时，他刚刚装出来的客套模样消失得无影无踪: ""这并不难，要知道这可是速子科技，只要价码合适，他们什么都会卖的。问问我的朋友{Arroyo}吧! 他是一个彻头彻尾的速子科技大佬，他肯定知道该贿赂谁。""

{Gargoyle}把数据板扔到了桌上，看起来他对自己的表现很满意: ""能帮上忙我很高兴，舰长。我相信我能证明我对你的成功是必不可少的。""","gaPZ_gargOpts1:""谢了。""
gaPZ_gargUnderwhelming:""说实话，似乎没有意料之外的情报。""",
gaPZAskGargoyleKeliseSel2,DialogOptionSelected,$option == gaPZ_gargUnderwhelming,,"""好吧，我也说实话，""{Gargoyle}阴阳怪气地说，""你把我的空余时间当作了无私奉献，还真是感谢啊。""

说完后，黑客的通讯就断开了，留在你面前的只有空无一物的显示屏。",cutCommLinkNoText:继续,
paPZ_gargZigSel,DialogOptionSelected,$option == paPZ_gargZig,,"""院长认为我的解释不重要，她也许认为你应该在只知道自己要找一个疯子武器工程师的情况下就跑到{Hybrasil}去。""{Gargoyle}嘲笑道，说着说着他就装出了院长的样子，""哇! 这计划真是完美无缺! 我会在这里等着的，记得告诉我进展如何。""

你们大眼瞪小眼，瞪了好一会后{Gargoyle}又开始咆哮。

""想象一下! 院长让你把我骗进了一场令人毕生难忘的数据劫案 - 还是在霸主的眼皮子底下! - 然后她又让我解密了那个被她偷走了工作的人的珍贵档案，到头来却不问已经将档案中大部分内容浏览完毕的我对其中内容的看法?她以为自己什么都知道! 这真是太经典了!""

说完后黑客垂头丧气，不难看出他在生闷气。","paPZ_gargZigLike:""我想听听你的见解，{Gargoyle}。""
paPZ_gargZigWhine:""如果你只是想抱怨的话，我想我可以离开了。""
paPZ_gargZigWait:什么都不说，就这么看着他",
paPZ_gargZigLikeSel,DialogOptionSelected,$option == paPZ_gargZigLike,,"{Gargoyle}抬头看着你: ""喔? 真的?""","paPZ_gargZigValue:""我觉得你应该有一些专业的看法。""
paPZ_gargZigWhine:""如果你只是想抱怨的话，我想我可以离开了。""
paPZ_gargZigWait:什么都不说，就这么看着他",
paPZ_gargZigWhineSel,DialogOptionSelected,$option == paPZ_gargZigWhine,,"""很好。我相信你会做得很好，你会让{Baird}非常高兴，然后拿到很多的报酬。""

{Gargoyle}阴沉地看着你，幽幽地说: ""我想你也心知肚明，在她眼里，你永远不会拥有{Coureuse}那样的地位。你只是一个杀手，一个工具，而一旦你完成了你的使命...""

{Gargoyle}转过身，轻蔑地朝你甩了甩手，接着通讯就被切断了。",cutCommLinkNoText:继续,
paPZ_gargZigWaitSel,DialogOptionSelected,$option == paPZ_gargZigWait,,在一片沉默中，{Gargoyle}玩起了他的数据板。,"paPZ_gargZigValue:""我觉得你应该有一些专业的看法。""
paPZ_gargZigWait2:就这么继续看着他",
